Comment,Designator,Footprint
0.1uF,C4,402
,C5,402
,C6,402
,C7,402
,C8,402
,C12,402
,C13,402
,C14,402
,C18,402
,C19,402
,C20,402
,C24,402
,C25,402
,C26,402
,C27,402
,C28,402
,C29,402
,C30,402
0.22uF,C1,402
,C2,402
,C9,402
,C10,402
,C15,402
,C16,402
,C21,402
,C22,402
1.0uF,C3,402
,C11,402
,C17,402
,C23,402
10k,R29,402
,R30,402
,R31,402
1KOHM-0402-1/16W-1%,R1,402
,R2,402
,R3,402
,R4,402
,R7,402
,R8,402
,R9,402
,R10,402
,R13,402
,R14,402
,R15,402
,R16,402
,R19,402
,R20,402
,R21,402
,R22,402
2.0K,R5,402
,R6,402
,R11,402
,R12,402
,R17,402
,R18,402
,R23,402
,R24,402
ADS1015IDGST,U7,SOP50P490X110-10N
INA333AIDGKT,U1,SOP65P490X110-8N
,U3,SOP65P490X110-8N
,U4,SOP65P490X110-8N
,U5,SOP65P490X110-8N
LMV324,U2,SO14
REF2033AIDDCT,U6,SOT95P280X110-5N
SM04B-SRSS-TB(LF)(SN),J5,SM04B-SRSS-TB(LF)(SN)
SM05B-SRSS-TB(LF)(SN),J6,SM05B-SRSS-TB(LF)(SN)
