Designator,Mid X,Mid Y,Layer,Rotation,,
C1,11,29,Top,0,,
C10,11,27,Top,0,,
C11,22,27,Top,180,,
C12,27,26,Top,90,,
C13,20,26,Top,90,,
C14,16,21,Top,180,,
C15,11,13,Top,0,,
C16,11,19,Top,0,,
C17,22,19,Top,180,,
C18,27,18,Top,270,,
C19,20,18,Top,90,,
C2,11,35,Top,0,,
C20,16,13,Top,180,,
C21,11,5,Top,0,,
C22,11,11,Top,0,,
C23,22,11,Top,180,,
C24,27,10,Top,270,,
C25,20,10,Top,90,,
C26,16,5,Top,180,,
C27,37,14,Top,180,,
C28,34,11,Top,90,,
C29,37,8,Top,180,,
C3,22,35,Top,180,,
C30,39.5,17,Top,180,,
C4,27,34,Top,90,,
C5,20,34,Top,90,,
C6,16,29,Top,180,,
C7,37,22,Top,0,,
C8,27,22,Top,0,,
C9,11,21,Top,0,,
J5,46.5,36.59,Top,180,,
J6,45,3.84,Top,0,,
R1,16,35,Top,0,,
R10,22,25,Top,0,,
R11,25,25,Top,0,,
R12,25,27,Top,0,,
R13,16,19,Top,0,,
R14,11,15,Top,0,,
R15,11,17,Top,180,,
R16,22,17,Top,0,,
R17,25,19,Top,0,,
R18,25,17,Top,0,,
R19,16,11,Top,0,,
R2,11,31,Top,0,,
R20,11,7,Top,0,,
R21,11,9,Top,180,,
R22,22,9,Top,0,,
R23,25,11,Top,0,,
R24,25,9,Top,0,,
R29,43,11.5,Top,90,,
R3,11,33,Top,180,,
R30,41.5,11.5,Top,90,,
R31,40,11.5,Top,90,,
R4,22,33,Top,0,,
R5,25,33,Top,0,,
R6,25,35,Top,0,,
R7,16,27,Top,0,,
R8,11,23,Top,0,,
R9,11,25,Top,180,,
U1,16,32,Top,270,,
U2,32,22.14,Top,90,,
U3,16,24,Top,270,,
U4,16,16,Top,270,,
U5,16,8,Top,270,,
U6,37,11,Top,0,,
U7,41,22,Top,180,,
